449.000000,253.000000,0.078000
449.000000,263.000000,0.157000
445.000000,278.000000,0.237000
437.000000,299.000000,0.317000
420.000000,320.000000,0.396000
396.000000,338.000000,0.473000
364.000000,348.000000,0.551000
330.000000,347.000000,0.631000
297.000000,334.000000,0.715000
275.000000,315.000000,0.793000
261.000000,293.000000,0.871999
254.000000,274.000000,0.950999
251.000000,257.000000,1.052999
251.000000,251.000000,1.131999
251.000000,250.000000,1.212999
251.000000,256.000000,1.288999
252.000000,268.000000,1.368999
257.000000,284.000000,1.444999
267.000000,304.000000,1.522999
288.000000,327.000000,1.608999
316.000000,343.000000,1.688000
348.000000,349.000000,1.764000
381.000000,345.000000,1.841000
409.000000,330.000000,1.918000
430.000000,309.000000,1.998000
443.000000,285.000000,2.089000
448.000000,268.000000,2.168000
449.000000,256.000000,2.245000
449.000000,251.000000,2.323001
449.000000,251.000000,2.400001
449.000000,256.000000,2.477001
448.000000,268.000000,2.553002
443.000000,286.000000,2.636002
432.000000,306.000000,2.713002
412.000000,327.000000,2.793003
384.000000,343.000000,2.871003
352.000000,349.000000,2.948003
320.000000,345.000000,3.024004
287.000000,327.000000,3.116004
268.000000,306.000000,3.193004
257.000000,286.000000,3.270005
252.000000,269.000000,3.346005
251.000000,257.000000,3.423005
251.000000,250.000000,3.504005
251.000000,250.000000,3.579006
251.000000,257.000000,3.663006
252.000000,268.000000,3.741007
257.000000,285.000000,3.818007
268.000000,305.000000,3.894007
286.000000,326.000000,3.970008
313.000000,342.000000,4.048007
348.000000,349.000000,4.132007
381.000000,344.000000,4.210006
409.000000,330.000000,4.287006
429.000000,310.000000,4.364005
442.000000,288.000000,4.444005
447.000000,271.000000,4.521004
449.000000,258.000000,4.600003
449.000000,251.000000,4.681003
449.000000,250.000000,4.758002
449.000000,255.000000,4.836001
448.000000,266.000000,4.914000
444.000000,283.000000,4.992999
434.000000,302.000000,5.067998
414.000000,326.000000,5.155998
386.000000,343.000000,5.234997
352.000000,349.000000,5.315997
320.000000,345.000000,5.390996
292.000000,330.000000,5.467995
271.000000,310.000000,5.546995
259.000000,289.000000,5.623994
253.000000,271.000000,5.700993
251.000000,259.000000,5.776992
251.000000,251.000000,5.854992
251.000000,250.000000,5.932991
251.000000,255.000000,6.013990
252.000000,265.000000,6.092990
256.000000,283.000000,6.174990
266.000000,303.000000,6.254990
284.000000,324.000000,6.332989
311.000000,341.000000,6.411988
343.000000,349.000000,6.487987
376.000000,346.000000,6.565986
410.000000,329.000000,6.657986
431.000000,308.000000,6.738986
442.000000,287.000000,6.817985
448.000000,269.000000,6.894984
449.000000,257.000000,6.975984
449.000000,250.000000,7.053983
449.000000,250.000000,7.132983
449.000000,257.000000,7.221982
448.000000,269.000000,7.298982
443.000000,286.000000,7.373981
431.000000,307.000000,7.453980
412.000000,328.000000,7.530980
383.000000,344.000000,7.610980
346.000000,349.000000,7.699979
311.000000,341.000000,7.782979
283.000000,323.000000,7.864978
265.000000,301.000000,7.947977
255.000000,280.000000,8.027977
252.000000,264.000000,8.106977
251.000000,253.000000,8.190977
